latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-35.7698,141.3367,411.8,1.3,1.1,2020-01-01,57,Terra,MODIS,100,6.03,318.8,468.4,D,0
-41.5621,147.931,387.2,3.7,1.8,2020-01-01,58,Terra,MODIS,100,6.03,295.3,1205.4,D,0
-41.5642,147.9801,358.0,3.7,1.8,2020-01-01,58,Terra,MODIS,99,6.03,286.9,515.3,D,0
-41.5512,147.9241,352.8,3.7,1.8,2020-01-01,58,Terra,MODIS,91,6.03,292.3,436.1,D,0
-41.5678,147.9235,362.4,3.7,1.8,2020-01-01,58,Terra,MODIS,94,6.03,293.6,584.4,D,0
-41.5696,147.9728,354.4,3.7,1.8,2020-01-01,58,Terra,MODIS,85,6.03,289.0,450.8,D,0
-31.8451,121.5464,378.7,2.3,1.5,2020-01-01,234,Terra,MODIS,100,6.03,314.7,454.3,D,0
-31.8471,121.5712,382.1,2.3,1.5,2020-01-01,234,Terra,MODIS,100,6.03,316.5,505.2,D,0
-31.8626,121.5947,378.1,2.3,1.5,2020-01-01,234,Terra,MODIS,100,6.03,315.9,453.6,D,0
-32.2736,123.4711,361.3,3.2,1.7,2020-01-01,234,Terra,MODIS,100,6.03,311.6,400.5,D,0
-32.2914,123.5042,382.3,3.2,1.7,2020-01-01,234,Terra,MODIS,100,6.03,313.2,796.3,D,0
-32.3092,123.5376,363.9,3.2,1.7,2020-01-01,234,Terra,MODIS,100,6.03,311.5,445.4,D,0
-32.3052,123.5325,365.9,3.2,1.7,2020-01-01,234,Terra,MODIS,100,6.03,312.6,485.9,D,0
-32.314,123.4282,363.2,3.2,1.7,2020-01-01,234,Terra,MODIS,100,6.03,314.4,412.6,D,0
-32.5382,121.9807,384.2,2.5,1.5,2020-01-01,234,Terra,MODIS,100,6.03,310.1,606.7,D,0
-32.5403,122.0078,372.8,2.5,1.5,2020-01-01,234,Terra,MODIS,100,6.03,310.5,433.5,D,0
